,points,title,description,taster_name,taster_twitter_handle,price,designation,variety,region_1,region_2,province,country,winery
427,92,Lafond 2012 Hilltop Ranch Vineyard Syrah (Sta. Rita Hills),"Dried raspberries and leathery blackberry fruit get added character from violets on the nose of this single-vineyard bottling from winemaker Bruce McGuire. The palate shows lots of peppercorns and mint in its aromatic core, which is laid across tightly restrained blackberry fruit flavor.",Matt Kettmann,@mattkettmann,28.0,Hilltop Ranch Vineyard,Syrah,Sta. Rita Hills,Central Coast,California,US,Lafond
428,92,Louis Latour 2012 Les Cazetiers Premier Cru  (Gevrey-Chambertin),"This wine has a firm structure, solid with tannins and a dense, complex balance between acidity and perfumed red berry flavors. It is juicy, full of freshness as well as considerable tannins. It needs to be aged for several years; drink from 2019.",Roger Voss,@vossroger,120.0,Les Cazetiers Premier Cru,Pinot Noir,Gevrey-Chambertin,,Burgundy,France,Louis Latour
429,92,Louis Max 2013 Les Azerottes  (Gevrey-Chambertin),"Rich and concentrated, this wine shows the firm tannins of a Gevrey-Chambertin. Ripe berry fruits and beautiful acidity contrast with this structure. The fresh aftertaste with its flavors of raspberries and dark cherries will be very fine. Drink from 2018.",Roger Voss,@vossroger,90.0,Les Azerottes,Pinot Noir,Gevrey-Chambertin,,Burgundy,France,Louis Max
430,92,Maurice Schoech & Fils 2013 Sonnenberg Riesling (Alsace),"The slightly more evolved nose that effortlessly fuses crushed chamomile leaf and lemon zest also hints at dark fir honey. It glides seamlessly into a fast-flowing, straight channel of acidity. There is movement and poise in this virtual journey into freshness and aroma. It is the lemon that lasts longest on the palate, which is dry and of exquisite purity.",Anne Krebiehl MW,@AnneInVino,28.0,Sonnenberg,Riesling,Alsace,,Alsace,France,Maurice Schoech & Fils
431,92,Melville 2013 Verna's Pinot Noir (Santa Barbara County),"There's a very candied red-cherry quality to the nose of this wine from a vineyard that the winery will cease using with this vintage, along with sexy aromas of violet, lilac, clove, cola, peppercorn and rose. A sage-driven character emerges once sipped, giving spice to bright red, slightly sour cranberry fruit.",Matt Kettmann,@mattkettmann,28.0,Verna's,Pinot Noir,Santa Barbara County,Central Coast,California,US,Melville
432,92,Pride Mountain 2012 Reserve Cabernet Sauvignon (Napa County-Sonoma County),"Thick chocolate and tar exude on the nose before a palate of tar, leather and tobacco adds to the robust mix. Dry tannins aim and deliver on the lengthy finish after a medium-bodied impact of black tea, blueberry and black pepper.",Virginie Boone,@vboone,135.0,Reserve,Cabernet Sauvignon,Napa County-Sonoma County,Napa-Sonoma,California,US,Pride Mountain
433,92,I Saltari 2008  Amarone della Valpolicella,"Dried black cherry, pressed violet, tilled soil nutmeg and chopped herb aromas lead the nose on this big, bold red. The round, enveloping palate doles out dried plum, raspberry compote, licorice and black pepper alongside velvety tannins that lend it a polished feel.",Kerin O’Keefe,@kerinokeefe,67.0,,Red Blend,Amarone della Valpolicella,,Veneto,Italy,I Saltari
434,92,René Muré 2013 Côte de Rouffach Riesling (Alsace),"Taut citrus, cleansing lemon and brisk grapefruit show an uncompromsing, dry Riesling that majors in tense citrus and wet-stone flavors. There is a linearity and a very alluring purity that deserves to develop further. This is lovely and briskly refreshing now, but time in bottle will bring out more earthy, stony complexity. Drink 2017–2025.",Anne Krebiehl MW,@AnneInVino,32.0,Côte de Rouffach,Riesling,Alsace,,Alsace,France,René Muré
435,92,René Muré 2014 Signature Gewurztraminer (Alsace),"Earth and roses, lemon zest and orange flesh: these are the contrasts of this refreshing, toned but textured Gewurztraminer that shows the full weight of its rose perfume on the palate. Its dryness underlines earth rather than fruit, but has no less charm for that. On the contrary: the lingering aftertaste leaves a lasting impression.",Anne Krebiehl MW,@AnneInVino,24.0,Signature,Gewürztraminer,Alsace,,Alsace,France,René Muré
436,92,Terra d'Oro 2013 Teroldego (Amador County),"A remarkable full-bodied wine, this has great concentration and depth of flavor, with a dense but fine-grained texture to go along with it. The color is virtually black, with a dark red rim, and the flavors are deep and delicious, like dark chocolate and blackberry jam. This is fascinating to taste now, but will be best to drink after 2018.",Jim Gordon,@gordone_cellars,18.0,,Teroldego,Amador County,Sierra Foothills,California,US,Terra d'Oro
437,92,Vincent Vineyards 2013 Family Reserve Sauvignon Blanc (Santa Ynez Valley),"Enticing aromas of white lilies, nectarines, white peach, honey-lime water and chalky stone hit the nose on this wine from a new vineyard on Highway 154 in the likely-to-be-named Los Olivos District. The palate is creamy down the center but with tangy edges, offering flavors of lime yogurt and pink grapefruit pith.",Matt Kettmann,@mattkettmann,25.0,Family Reserve,Sauvignon Blanc,Santa Ynez Valley,Central Coast,California,US,Vincent Vineyards
438,92,Miroballi Wines 2013 Grenache Blanc (Santa Ynez Valley),"This bottling from young winemaker Michael Miroballi shows lime blossom, chalk, fresh rain on concrete and nectarine flesh on the nose. The palate is exuberant with flavors but they're not ripe, instead showing lime peels and juice, a cement-like grip and a buzzing sensation that overtakes the mouth like a Sichuan peppercorn.",Matt Kettmann,@mattkettmann,25.0,,Grenache Blanc,Santa Ynez Valley,Central Coast,California,US,Miroballi Wines
439,92,Red Car 2014 Rosé of Pinot Noir (Sonoma Coast),"A deliciously light, bright wine that hits the mark year after year, this cool-climate offering is fresh in zingy acidity and juicy flavors of grapefruit, strawberry and lime. The acidity buoys the experience from first sip to last, backed by enough body to remain in balance. This wine is fermented like a white wine without skin or seed contact.",Virginie Boone,@vboone,28.0,Rosé of,Pinot Noir,Sonoma Coast,Sonoma,California,US,Red Car
440,92,Round Pond 2014 Reserve Sauvignon Blanc (Rutherford),"In this full-bodied, well-earned Reserve-level wine, white peach, cantaloupe and lemon-lime define the ripeness of fruit on the palate, providing a fresh lushness around its substantive body and weight. A hit of decadent toffee lurks on the finish.",Virginie Boone,@vboone,42.0,Reserve,Sauvignon Blanc,Rutherford,Napa,California,US,Round Pond
441,84,Vino Con Brio 2006 Estate Pinot Grigio (Lodi),"The alcohol is nice and low on this fruity wine, and the apple, pineapple, honeysuckle and spice flavors are nicely balanced with crisp acidity. But it's definitely on the sweet side.",,,16.0,Estate,Pinot Grigio,Lodi,Central Valley,California,US,Vino Con Brio
442,84,Xanadu 2005 Cabernet Sauvignon (Margaret River),"Leafy and herbal on the nose, but the flavors are clean, favoring cassis over the green stuff. Light-bodied, with modest tannins, this would pair well with chops or burgers.",Joe Czerwinski,@JoeCz,18.0,,Cabernet Sauvignon,Margaret River,,Western Australia,Australia,Xanadu
443,84,Hook & Ladder 2006 Pinot Noir (Russian River Valley),"There's enough unripe fruity flavor in this wine to detract from its pleasure. As dry, crisp and silky as it is, its cherry and cola flavors are marred by a sharp, green taste of menthol.",,,25.0,,Pinot Noir,Russian River Valley,Sonoma,California,US,Hook & Ladder
444,84,Meridian 2006 Chardonnay (Santa Barbara County),"Here's a basic, Santa Barbara Chardonnay that shows off the region's cool-climate friendliness to the variety. It's dry and crisp and creamy, with pineapple, lime and oak flavors.",,,10.0,,Chardonnay,Santa Barbara County,Central Coast,California,US,Meridian
445,84,Debonné 2006 Reserve Riesling (Grand River Valley),"Fresh minerality and dancing floral notes make the nose on this reserve Riesling enticing. On the palate, typical Riesling flavors of spice and flowers are slightly slowed by a viscous, heavier mouthfeel, but overall, the wine is harmonious. Great with a spicy Indian dish like Vindaloo—it could hold its own.",Susan Kostrzewa,@suskostrzewa,11.0,Reserve,Riesling,Grand River Valley,,Ohio,US,Debonné
446,84,Erath 2006 Pinot Blanc (Willamette Valley),"Erath's fresh and lightly fruity Pinot Gris is a bit more substantial than this new Pinot Blanc. Soft and fruity, this is a simple wine which does not challenge the palate in any way. All stainless steel fermented, it is the quintessential quaffer.",Paul Gregutt,@paulgwine ,14.0,,Pinot Blanc,Willamette Valley,Willamette Valley,Oregon,US,Erath
447,84,Graffigna 2005 Centenario Estate Bottled Malbec (San Juan),"A little reduced and granular on the nose, with black fruit and licorice aromas filling any gaps. The flavor profile is solid, with black cherry and plum pulling the cart. Where this wine comes up short is in mouthfeel; it's tight almost to the point of sharp, with a strong essence of grape skins and tannin. Imported by Pernod Ricard, USA.",Michael Schachner,@wineschach,13.0,Centenario Estate Bottled,Malbec,San Juan,,Other,Argentina,Graffigna
448,84,Vina Robles 2005 Jardine Petite Sirah (Paso Robles),"Ouch. Tough, extremely dry, and acidic-tannic, this wine isn't showing much charm now. There's a suggestion of blackberry, bitter cherry and blueberry fruit, as well as lots of smoky oak. Nowhere near ready, and hard to predict. Try after 2008.",,,26.0,Jardine,Petite Sirah,Paso Robles,Central Coast,California,US,Vina Robles
449,84,White Oak 2004 Merlot (Napa Valley),"There's too much raisin flavor, and the wine is deficient in acidity, giving the cherry and blackberry flavors a syrupy feel.",,,26.0,,Merlot,Napa Valley,Napa,California,US,White Oak
450,84,Bogle 2005 Cabernet Sauvignon (California),"A little rustic and sharp, but perfectly okay if you're looking for an everyday Cab to elevate simple fare. It shows black currant and oak flavors, and is thoroughly dry.",,,11.0,,Cabernet Sauvignon,California,California Other,California,US,Bogle
451,84,Campos Góticos 2004 Pecunia  (Ribera del Duero),"Leathery and peanutty on the nose; soon the aromas expand to baked plum and stewy berries. The palate is sturdy and tannic, but there's enough flesh and weight to the fruit that it's mostly balanced. Finishes with bacon and leather accents.",Michael Schachner,@wineschach,25.0,Pecunia,Tempranillo,Ribera del Duero,,Northern Spain,Spain,Campos Góticos
452,84,Debonné 2006 Lot 707 Reserve Riesling (Grand River Valley),"A slightly floral but lively nose is followed by a pretty, balanced spice and white flower mix on the palate with this offering from Ohio. Paired with a delicate Asian dish, this wine is a fun choice.",Susan Kostrzewa,@suskostrzewa,15.0,Lot 707 Reserve,Riesling,Grand River Valley,,Ohio,US,Debonné
453,84,Domaine Grossot 2005  Chablis,"Somewhat earthy and rustic, this is a fresh wine, with citrus notes and some yeastiness. The wine's fruit has finishing liveliness and crispness.",Roger Voss,@vossroger,25.0,,Chardonnay,Chablis,,Burgundy,France,Domaine Grossot
454,84,Finca El Origen 2006 Reserva Malbec (Uco Valley),"Clean, fruity and a touch candied on the bouquet. The palate is narrow but saved by ripe black cherry flavors and spice notes. Finishes with a mocha-like flavor and a crisp, clean feel. A basic but more than satisfactory Malbec. Imported by Carolina Wine Brands USA Inc.",Michael Schachner,@wineschach,13.0,Reserva,Malbec,Uco Valley,,Mendoza Province,Argentina,Finca El Origen
455,84,Grgich Hills 2003 Yountville Selection Red (Napa Valley),"Grgich has struggled with this uneven bottling over the years, and the 2003 shows the problems that have plagued the wine. It combines sharpness with sugary cherry-berry flavors, making for a sweet and sour taste. There are tannins aplenty, but it doesn't seem like an ager.",,,135.0,Yountville Selection,Cabernet Blend,Napa Valley,Napa,California,US,Grgich Hills
456,84,Q 2005 Zinfandel (Sonoma County),"Full-bodied and robust, this has the tannicly rustic nature of an old-fashioned red. It is completely dry, with earthy flavors of dark stone fruits, currants, coffee, licorice, herbs and pepper.",,,16.0,,Zinfandel,Sonoma County,Sonoma,California,US,Q
457,84,Rutini 2006 Trumpeter Malbec (Mendoza),"Sweet and a little foxy on the nose, with secondary aromas of air freshener. The flavors are a touch brambly and herbal, while the palate is flush and chewy but also a little tannic and choppy. Doesn't seem as thought this is as structured and serious as it was, say, four or five years ago.",Michael Schachner,@wineschach,11.0,Trumpeter,Malbec,Mendoza,,Mendoza Province,Argentina,Rutini
458,84,Harveys NV Orange Apéritif Sherry (Jerez),"A new take on Harveys Bristol Cream. Instead of you adding a twist of orange with the final pour, they've done it for you. But as with many infused drinks, the aromas are kind of artificial and the flavors run straight to candied and never come back. Worth a go if you like orange as a lead flavor—serve on the rocks.",Michael Schachner,@wineschach,15.0,Orange Apéritif,Sherry,Jerez,,Andalucia,Spain,Harveys
459,84,Red Earth 2006 Cabernet Sauvignon (Adelaide Plains),"Starts off with a hint of vinyl on the nose, layered atop sour cherry and vanilla flavors. The slightly syrupy texture is offset by tangy acids on the finish. Imported by Walca International.",Joe Czerwinski,@JoeCz,12.0,,Cabernet Sauvignon,Adelaide Plains,,South Australia,Australia,Red Earth
460,84,Wagner 2006 Semi Dry Riesling (Finger Lakes),"This Riesling has aromas that almost mimic a Chardonnay: toasty cream, vanilla, spice. On the palate, those more complex flavors continue, but are buoyed by some acidity and an intriguing touch of sweet flowers. Overall, a tasty sip.",Susan Kostrzewa,@suskostrzewa,13.0,Semi Dry,Riesling,Finger Lakes,Finger Lakes,New York,US,Wagner
461,84,Abadia Retuerta 2004 Selección Especial Red (Vino de la Tierra de Castilla y León),"At 70% Tempranillo and only 25% Cabernet and Merlot, there's a detectable green core running through the nose and palate. Surrounding that is sizable fruit and oak, the latter of which adds dill to the fray. All in all there's enough body and soul to save the wine, but along the way it's got some issues.",Michael Schachner,@wineschach,23.0,Selección Especial,Tempranillo Blend,Vino de la Tierra de Castilla y León,,Northern Spain,Spain,Abadia Retuerta
462,84,Arrow Creek 2005 Vintner's Selection Merlot (California),"Pretty generic-tasting but basically good, a dry red wine with considerable tannins and acids that frame herbal cherry flavors.",,,10.0,Vintner's Selection,Merlot,California,California Other,California,US,Arrow Creek
463,84,Hat in the Ring 2007 Fireman Shiraz (Mendoza),"Touches of cola, cherry and berry work the jammy bouquet, and the reasonably sturdy body offers up flavors of berry backed by vanilla. There's ample grab and pretty good balance to this fresh wine.",Michael Schachner,@wineschach,9.0,Fireman,Shiraz,Mendoza,,Mendoza Province,Argentina,Hat in the Ring
464,83,Cape May 2005 Merlot (New Jersey),"A nose of enticing blackberry jam is followed by a slightly smoky, spicy blend of savory, earthy flavors. The nose and palate are a touch discordant, but overall the wine is unique and approachable.",Susan Kostrzewa,@suskostrzewa,18.0,,Merlot,New Jersey,,New Jersey,US,Cape May
465,83,Casa Rondeña Winery 2004 Cabernet Franc (New Mexico),"A very appealing nose of bright cherry and spice is followed by flavors of tea, spice and red berry in the mouth. Good body and tannins and a lingering finish make it a unique choice from a somewhat unknown region.",Susan Kostrzewa,@suskostrzewa,20.0,,Cabernet Franc,New Mexico,,New Mexico,US,Casa Rondeña Winery
466,82,Terra Australis 2008 Chardonnay (South Eastern Australia),"Fresh grassiness, interwoven with a mineral note and aromas of apple and pear make for an elegant opening. The rather dilute palate shows a surprising level of spritz but also some burnt orange flavors while the short finish betrays a hint of sweetness.",,,14.0,,Chardonnay,South Eastern Australia,,Australia Other,Australia,Terra Australis
467,82,Angove's 2006 Nine Vines Shiraz-Viognier (South Australia),"This wine shows strong barnyard and sulfur notes overwhelming an otherwise appealing nose of herbes de Provence and grilled pork. The palate is juicy, with appealing cherry notes while the smooth finish winds up on an ashy note.",,,12.0,Nine Vines,Shiraz-Viognier,South Australia,,South Australia,Australia,Angove's
468,82,Henry of Pelham 2007 Reserve Off-Dry Riesling (Short Hills Bench),"This off-dry Riesling has a nose of flowers and warming spices, followed by slightly sweet and spicy fruit (apples, pears, vanilla) flavors. The wine is simple but appealing.",Susan Kostrzewa,@suskostrzewa,16.0,Reserve Off-Dry,Riesling,Short Hills Bench,,Ontario,Canada,Henry of Pelham
469,81,Banrock Station 2006 Shiraz-Cabernet Sauvignon (South Eastern Australia),"This bargain-basement Australian is oddly lacking in fruit, offering up herbaceous and pine scents instead. Flavor is likewise scarce on the crisp palate and the short finish. No tannins in sight.",,,5.0,,Shiraz-Cabernet Sauvignon,South Eastern Australia,,Australia Other,Australia,Banrock Station
470,81,Blue Reef 2007 Shiraz-Cabernet Sauvignon (South Eastern Australia),The nose is honest and fresh with more herbaceous and mulchy notes than fruit. Strawberry notes infuse the rather weak palate but lead to a hit of alcohol on the finish. Drink now.,,,9.0,,Shiraz-Cabernet Sauvignon,South Eastern Australia,,Australia Other,Australia,Blue Reef
471,81,Jasper 2006 Roy's Vineyard at Cherry Creek Chancellor (Iowa),"Anyone who doesn't like barnyard smells will want to steer clear of this funky example from Iowa. The crisp palate shows some cherry notes and little tannin. Finishes with some oily, ashy notes.",,,20.0,Roy's Vineyard at Cherry Creek,Chancellor,Iowa,,Iowa,US,Jasper
472,81,Treleaven 2007 Dry Riesling (Cayuga Lake),Lime and slate notes make for a very nice opening but lead to a distractingly high level of spritz. The crisp palate is lacking in flavor and finishes on the watery side. Drink up.,,,15.0,Dry,Riesling,Cayuga Lake,Finger Lakes,New York,US,Treleaven
473,81,Midlife Crisis 2005 Sangiovese (Paso Robles),"Too sugary sweet, with jellied flavors of cherries and spices. More like a dessert wine than a dry table one.",,,19.0,,Sangiovese,Paso Robles,Central Coast,California,US,Midlife Crisis
474,81,Montelle 2007 Chambourcin (Missouri),"The gorgeously opaque ruby color raises high hopes. However, the undistinguished, earthy nose fails to deliver. The lush palate is a step up, with red berry soup flavors interwoven with an odd ashy note. Long finish. Drink up.",,,10.0,,Chambourcin,Missouri,,Missouri,US,Montelle
475,81,Keuka Spring 2006 Miller's Cove Red Red (Finger Lakes),"While not the best Keuka Spring has to offer, this Merlot-dominated Bordeaux blend offers up some pleasant fruit compote notes and a crisp finish. The tannins are a bit grainy, however and the confected fruit flavors are on the simple side. Serve with steak, hamburgers.",,,20.0,Miller's Cove Red,Bordeaux-style Red Blend,Finger Lakes,Finger Lakes,New York,US,Keuka Spring
476,81,Red Mud 2007 Unoaked Chardonnay (South Australia),"Fresh but faint aromas of hay, candlewax and grass open this honest but simple effort. The palate lacks intensity but displays a bit of a mineral streak. Disappointingly short on the finish. Imported by Nelwood Wines.",,,15.0,Unoaked,Chardonnay,South Australia,,South Australia,Australia,Red Mud
477,81,Espuela del Gaucho 2007 Gaucho Spur Malbec (Mendoza),"A lean, acidic Malbec that defies the tried and true model of richness and lots of flavor. It has rhubarb and green raspberry aromas, while the palate is short, tart and herbal. Not a lot of definition here.",Michael Schachner,@wineschach,9.0,Gaucho Spur,Malbec,Mendoza,,Mendoza Province,Argentina,Espuela del Gaucho
478,81,Castel Grisch 2007 Gewürztraminer (Finger Lakes),"Instantly appealing aromas of rose water and kiwi fruit make for a great opener but yield to a one-dimensional palate. The short, slightly flabby finish shows pleasant orange rind notes.",,,16.0,,Gewürztraminer,Finger Lakes,Finger Lakes,New York,US,Castel Grisch
479,80,Alta Vista 2007 Finca Monte Lindo Chardonnay (Mendoza),"Strange Chardonnay. It smells and tastes more like feeble Torrontés than Chard. The palate offers only shearing apple fruit, and the finish is hard. Can't imagine anyone pegging this as Chardonnay.",Michael Schachner,@wineschach,9.0,Finca Monte Lindo,Chardonnay,Mendoza,,Mendoza Province,Argentina,Alta Vista
480,80,Midnight 2006 Estate Reserve Chardonnay (Paso Robles),"Soft and gluey, with sweet, jammy flavors of pineapples and butterscotch. Tastes like cough drops.",,,28.0,Estate Reserve,Chardonnay,Paso Robles,Central Coast,California,US,Midnight
481,80,Catharine Valley 2005 Reserve Cabernet Franc (Finger Lakes),"Charming aromas of tobacco leaf and strawberries promise good things to come but the palate does not follow through. While some boysenberry flavors appeal, the wine is thin in the mouth. The tannins are a bit overly gripping now but the wine does not have the fruit ripeness or concentration to benefit from cellaring.",,,42.0,Reserve,Cabernet Franc,Finger Lakes,Finger Lakes,New York,US,Catharine Valley
482,80,Rezonja 2005 Cabernet Sauvignon (Alexander Valley),"Smells and tastes like inexpensive Port, with caramelized wood, baked cherry and sugared black currant jam notes.",,,30.0,,Cabernet Sauvignon,Alexander Valley,Sonoma,California,US,Rezonja
483,80,Rooster Hill 2007 Dry Riesling (Finger Lakes),"Orange rind and Chinese spices make for an intriguing opener but the palate falls flat, with little to offer but a few simple lemon and lime flavors. Short finish.",,,16.0,Dry,Riesling,Finger Lakes,Finger Lakes,New York,US,Rooster Hill
484,80,Rooster Hill 2007 Estate Gewürztraminer (Finger Lakes),"While the aromas show some promise, they are disappointingly faint for a Gewürztraminer. This wine is an easy quaffer but lacks the palate richness typical of this variety. Crisp acidity and low alcohol (11.7%) make it a good hot weather choice.",,,16.0,Estate,Gewürztraminer,Finger Lakes,Finger Lakes,New York,US,Rooster Hill
485,80,McGregor 2006 Pinot Noir (Finger Lakes),This wine falls short of its rather lofty ambitions with lavish new French oak treatment resulting in a diminished fruit profile. Sawdust notes dominate the nose while the faintest hint of cherry can be detected on the palate. Finishes a bit tart. A good choice for those hankering for a vanilla milkshake.,,,28.0,,Pinot Noir,Finger Lakes,Finger Lakes,New York,US,McGregor
486,80,Bocage 2006 Merlot (Monterey),"Smells vegetal and unripe, with broccoli aromas that turn medicinal sweet in the mouth.",,,13.0,,Merlot,Monterey,Central Coast,California,US,Bocage
487,80,Castel Grisch 2007 Chancellor (Finger Lakes),"Crisp and exceptionally low in tannin, the Chancellor grape is perhaps this continent's answer to the Gamay of Beaujolais. The brilliant garnet hue of this example will force you to pick up the glass. Unfotunately, what you find there won't hold your attention for very long. The aromas are pleasant but diffuse and lead to a one-dimensional palate with only a few faint notes of red fruits.",,,12.0,,Chancellor,Finger Lakes,Finger Lakes,New York,US,Castel Grisch
488,80,Tapiz 2006 Merlot (Mendoza),"Not very fruity, with gritty cherry flavors and a hard, edgy, almost sour profile. Does nothing for the reputation of Merlot in Argentina. Overpriced, too.",Michael Schachner,@wineschach,16.0,,Merlot,Mendoza,,Mendoza Province,Argentina,Tapiz
489,80,Woomera 2006 Chardonnay (South Eastern Australia),"Odd notes of Pez candy and confectioner's sugar open this new entry from Southeast Australia. With a watery palate and an almost nonexistent finish, the wine does not make as much of an impression as the catchy name.",,,12.0,,Chardonnay,South Eastern Australia,,Australia Other,Australia,Woomera
490,97,Iron Horse NV Joy! Sparkling (Green Valley),"Available in magnum only, this is an occasional bottling from the winery. A winery spokeperson told me my bottle was entirely 1993 vintage, but not all other bottles are. The wine is extraordinarily fine, but compared to other California bubblies, it's sandpapery and almost harsh at this point. As it warms up in the glass it shows an immense toasted nut and grilled fruit richness with an impossibly long finish. This is one to stash for the long haul.",,,147.0,Joy!,Sparkling Blend,Green Valley,Sonoma,California,US,Iron Horse
491,88,Château Fourcas Dupré 2012 Zenith de Fourcas Dupré  (Listrac-Médoc),"This is the second wine of Fourcas Dupré. It is soft, full of ripe berry fruits and attractive acidity. The core of the wine is still dry and shows plenty of tannic structure that will allow the wine to age. Drink from 2019.",Roger Voss,@vossroger,19.0,Zenith de Fourcas Dupré,Bordeaux-style Red Blend,Listrac-Médoc,,Bordeaux,France,Château Fourcas Dupré
492,88,Château Pindefleurs 2014  Saint-Émilion,"Strongly dominated by its wood aging, this is a toasty, licorice and dark-coffee-flavored wine. It does have some black-fruit weight that should allow the wine to balance out. So wait until at least 2019 before drinking.",Roger Voss,@vossroger,28.0,,Bordeaux-style Red Blend,Saint-Émilion,,Bordeaux,France,Château Pindefleurs
493,88,Château Saransot-Dupré 2014  Listrac-Médoc,"From one of the leading estates in Listrac, this is a ripe structured wine. It has firm tannins and a dark core of dry wood aging. Balanced with that is the blackberry fruit and generous superripe Merlot. The wine needs time, so don't drink before 2019.",Roger Voss,@vossroger,24.0,,Bordeaux-style Red Blend,Listrac-Médoc,,Bordeaux,France,Château Saransot-Dupré
494,88,Cristom 2014 Mount Jefferson Cuvée Pinot Noir (Willamette Valley),"Light raspberry fruit carries a tart punchy edge. It's clean and fresh, though showing little density. Additional bottle age (another couple of years) would be a good idea.",Paul Gregutt,@paulgwine ,30.0,Mount Jefferson Cuvée,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Cristom
495,88,Domaine Gerard Charvet 2015 La Réserve d'Amélie  (Moulin-à-Vent),"While it is still young, the wine is showing great fruit and soft tannins. Juicy black cherries are ripe and full, a sign of the fine vintage. With the acidity and the dry core, the wine should age. Drink from 2018.",Roger Voss,@vossroger,22.0,La Réserve d'Amélie,Gamay,Moulin-à-Vent,,Beaujolais,France,Domaine Gerard Charvet
496,88,Elephant Seven 2014 River Rock Syrah (Walla Walla Valley (WA)),"Coming from a vineyard down in The Rocks District and at a quite low alcohol level for the state, especially considering the warmth of the vintage, this wine brings aromas of cranberry compote, herb, thistle and mineral. The flavors are light and elegant, almost faint at times, but showing a pleasing purity and a finish that lingers. It piques the interest, with cranberry juice notes lingering on the finish.",Sean P. Sullivan,@wawinereport,35.0,River Rock,Syrah,Walla Walla Valley (WA),Columbia Valley,Washington,US,Elephant Seven
497,88,Dezzani 2012 San Carlo  (Barolo),"This opens with subdued aromas of dark berry, cake spice, espresso and a whiff of pressed violet. On the straightforward palate, hints of white pepper and star anise add depth to dried morello cherry while solid tannins lend support.",Kerin O’Keefe,@kerinokeefe,29.0,San Carlo,Nebbiolo,Barolo,,Piedmont,Italy,Dezzani
498,88,Dry Creek Vineyard 2015 Wilson Ranch Chenin Blanc (Clarksburg),This medium-bodied wine smells light and herbal. It gets deeper and richer on the palate as ripe golden-apple flavors kick in and the texture seems to spread out.,Jim Gordon,@gordone_cellars,13.0,Wilson Ranch,Chenin Blanc,Clarksburg,Central Valley,California,US,Dry Creek Vineyard
499,88,Finca Sophenia 2015 Synthesis The Blend Red (Tupungato),"This Malbec blend is bright, jammy and grapy on the nose. The palate is juicy but bumpy and rough in feel, while fresh-fruit flavors of raspberry and cherry are a little too candied and simple for a wine of this level. A ripe medicinal finish is lush but awkward.",Michael Schachner,@wineschach,53.0,Synthesis The Blend,Red Blend,Tupungato,,Mendoza Province,Argentina,Finca Sophenia
500,88,Frei Brothers 2015 Reserve Sauvignon Blanc (Russian River Valley),"Stony lemon and a twist or two of grass dot zesty acidity in this clean, crisp and focused white, sure to be a pleasurable quaffer.",Virginie Boone,@vboone,17.0,Reserve,Sauvignon Blanc,Russian River Valley,Sonoma,California,US,Frei Brothers
501,88,Grafen Neipperg 2014 Trocken Spätburgunder (Württemberg),"Succulent black cherry perfume is accented by hints of granite and smoked nut in this inviting Pinot Noir. The palate is fresh and approachable, boasting loads of ripe black cherry and plum flavors. Sunny acidity and soft, feathery tannins augment its easy, appealing feel. Drink now through 2020.",Anna Lee C. Iijima,,26.0,Trocken,Spätburgunder,,,Württemberg,Germany,Grafen Neipperg
502,88,Milbrandt 2014 Traditions Cabernet Sauvignon (Columbia Valley (WA)),"The aromas bring notes of toasty spices, black currant, green pepper and blue fruit. The fruit and smoke flavors are smooth and easy drinking, with lightly grainy tannins providing support. It needs some more time to fully come together.",Sean P. Sullivan,@wawinereport,17.0,Traditions,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Milbrandt
503,88,Parras Wines 2015 Mula Velha Premium Branco White (Lisboa),"A fruity blend of local Lisboa grapes along with Chardonnay, this wine is rich and full of citrus and crisp apple flavors. It is a ripe wine with a creamy texture enhanced by toast from the wood aging. Drink this wine from late 2017.",Roger Voss,@vossroger,15.0,Mula Velha Premium Branco,Portuguese White,,,Lisboa,Portugal,Parras Wines
504,88,Parras Wines 2015 Quinta do Gradil Red (Lisboa),"This concentrated wine is dense with black fruits. Dark with chocolate and richness, it is still young and firm. Wood aging has smoothed the tannins and given extra fullness. The smoky aftertaste promises well. Drink from 2018.",Roger Voss,@vossroger,11.0,Quinta do Gradil,Portuguese Red,,,Lisboa,Portugal,Parras Wines
505,88,Quinta dos Poços 2014 Colheita Red (Douro),"Wood flavors dominate this young wine. It has structure and tannins, with concentrated toast and chocolate flavors. The extraction of the fruit gives the wine a bitter character. It should soften, so drink from 2019.",Roger Voss,@vossroger,15.0,Colheita,Portuguese Red,,,Douro,Portugal,Quinta dos Poços
506,88,Raptor Ridge 2015 Grüner Veltliner (Chehalem Mountains),"The winery's consistently flavorful version of this grape puts a New World spin on an Old World grape. It's ripe, round and lightly spicy, with jicama, cucumber and fleshy pear fruit. The finish is persistent and tags you with a touch of heat.",Paul Gregutt,@paulgwine ,20.0,,Grüner Veltliner,Chehalem Mountains,Willamette Valley,Oregon,US,Raptor Ridge
